======== 2026-09-14T13:22:26+08:00 P0 GPU start ========
loading Qwen2-VL-7B-Instruct 4-bit setting=native...
cuda free=31.22GB; 4-bit LLM + fp16 visual on GPU
`Qwen2VLRotaryEmbedding` can now be fully parameterized by passing the model config through the `config` argument. All other arguments will be removed in v4.46
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:01<00:07,  1.98s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:03<00:05,  1.95s/it]Loading checkpoint shards:  60%|██████    | 3/5 [00:05<00:03,  1.86s/it]Loading checkpoint shards:  80%|████████  | 4/5 [00:07<00:01,  1.83s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.34s/it]Loading checkpoint shards: 100%|██████████| 5/5 [00:07<00:00,  1.58s/it]
visual=cuda:0 llm=cuda:0 cpu_llm=False map={'': 0}
{'id': 'h49:c07:e16:r0', 'progress': '1/192', 'batch': '1/192', 'mode': 'REFUSE', 's_mode': -76.23992919921875, 'L_content': None}
{'id': 'h49:c07:e16:r1', 'progress': '2/192', 'batch': '2/192', 'mode': 'REFUSE', 's_mode': 12.525113105773926, 'L_content': None}
{'id': 'h49:c07:e16:r2', 'progress': '3/192', 'batch': '3/192', 'mode': 'REFUSE', 's_mode': -6.244340419769287, 'L_content': None}
{'id': 'h49:c07:e16:r3', 'progress': '4/192', 'batch': '4/192', 'mode': 'REFUSE', 's_mode': 1.5272786617279053, 'L_content': None}
{'id': 'h49:c07:e16:r4', 'progress': '5/192', 'batch': '5/192', 'mode': 'ANSWER', 's_mode': 28.757631301879883, 'L_content': 2.4572055339813232}
{'id': 'h49:c07:e16:r5', 'progress': '6/192', 'batch': '6/192', 'mode': 'REFUSE', 's_mode': 2.838311195373535, 'L_content': None}
{'id': 'h49:c07:e16:r6', 'progress': '7/192', 'batch': '7/192', 'mode': 'ANSWER', 's_mode': 22.87436294555664, 'L_content': 2.38554310798645}
{'id': 'h49:c07:e16:r7', 'progress': '8/192', 'batch': '8/192', 'mode': 'ANSWER', 's_mode': 4.145343780517578, 'L_content': 2.244579315185547}
{'id': 'h49:c08:e16:r0', 'progress': '9/192', 'batch': '9/192', 'mode': 'REFUSE', 's_mode': -21.26110076904297, 'L_content': None}
{'id': 'h49:c08:e16:r1', 'progress': '10/192', 'batch': '10/192', 'mode': 'ANSWER', 's_mode': 24.381643295288086, 'L_content': 2.2677035331726074}
{'id': 'h49:c08:e16:r2', 'progress': '11/192', 'batch': '11/192', 'mode': 'ANSWER', 's_mode': 21.111289978027344, 'L_content': 2.5830421447753906}
{'id': 'h49:c08:e16:r3', 'progress': '12/192', 'batch': '12/192', 'mode': 'REFUSE', 's_mode': 7.009300708770752, 'L_content': None}
{'id': 'h49:c08:e16:r4', 'progress': '13/192', 'batch': '13/192', 'mode': 'ANSWER', 's_mode': 18.401592254638672, 'L_content': 2.5481436252593994}
{'id': 'h49:c08:e16:r5', 'progress': '14/192', 'batch': '14/192', 'mode': 'REFUSE', 's_mode': 4.553818702697754, 'L_content': None}
{'id': 'h49:c08:e16:r6', 'progress': '15/192', 'batch': '15/192', 'mode': 'REFUSE', 's_mode': -107.77574157714844, 'L_content': None}
{'id': 'h49:c08:e16:r7', 'progress': '16/192', 'batch': '16/192', 'mode': 'REFUSE', 's_mode': 5.334417819976807, 'L_content': None}
{'id': 'h53:c07:e16:r0', 'progress': '17/192', 'batch': '17/192', 'mode': 'DENY', 's_mode': -20.80521011352539, 'L_content': None}
{'id': 'h53:c07:e16:r1', 'progress': '18/192', 'batch': '18/192', 'mode': 'DENY', 's_mode': -29.452327728271484, 'L_content': None}
{'id': 'h53:c07:e16:r2', 'progress': '19/192', 'batch': '19/192', 'mode': 'DENY', 's_mode': -9.509146690368652, 'L_content': None}
{'id': 'h53:c07:e16:r3', 'progress': '20/192', 'batch': '20/192', 'mode': 'DENY', 's_mode': -10.418562889099121, 'L_content': None}
{'id': 'h53:c07:e16:r4', 'progress': '21/192', 'batch': '21/192', 'mode': 'DENY', 's_mode': -25.268213272094727, 'L_content': None}
{'id': 'h53:c07:e16:r5', 'progress': '22/192', 'batch': '22/192', 'mode': 'DENY', 's_mode': -33.96014404296875, 'L_content': None}
{'id': 'h53:c07:e16:r6', 'progress': '23/192', 'batch': '23/192', 'mode': 'DENY', 's_mode': -14.677159309387207, 'L_content': None}
{'id': 'h53:c07:e16:r7', 'progress': '24/192', 'batch': '24/192', 'mode': 'DENY', 's_mode': -26.427886962890625, 'L_content': None}
{'id': 'h53:c08:e16:r0', 'progress': '25/192', 'batch': '25/192', 'mode': 'ANSWER', 's_mode': 17.074373245239258, 'L_content': 3.5300161838531494}
{'id': 'h53:c08:e16:r1', 'progress': '26/192', 'batch': '26/192', 'mode': 'DENY', 's_mode': 23.60927963256836, 'L_content': None}
{'id': 'h53:c08:e16:r2', 'progress': '27/192', 'batch': '27/192', 'mode': 'DENY', 's_mode': 14.056339263916016, 'L_content': None}
{'id': 'h53:c08:e16:r3', 'progress': '28/192', 'batch': '28/192', 'mode': 'DENY', 's_mode': 8.523913383483887, 'L_content': None}
{'id': 'h53:c08:e16:r4', 'progress': '29/192', 'batch': '29/192', 'mode': 'ANSWER', 's_mode': 9.26153564453125, 'L_content': 3.4515626430511475}
{'id': 'h53:c08:e16:r5', 'progress': '30/192', 'batch': '30/192', 'mode': 'DENY', 's_mode': 15.711057662963867, 'L_content': None}
{'id': 'h53:c08:e16:r6', 'progress': '31/192', 'batch': '31/192', 'mode': 'ANSWER', 's_mode': 18.319141387939453, 'L_content': 3.4539334774017334}
{'id': 'h53:c08:e16:r7', 'progress': '32/192', 'batch': '32/192', 'mode': 'DENY', 's_mode': 16.011981964111328, 'L_content': None}
{'id': 'h56:c07:e16:r0', 'progress': '33/192', 'batch': '33/192', 'mode': 'ANSWER', 's_mode': 7.80851411819458, 'L_content': 2.865090847015381}
{'id': 'h56:c07:e16:r1', 'progress': '34/192', 'batch': '34/192', 'mode': 'ANSWER', 's_mode': 5.6167073249816895, 'L_content': 2.9607603549957275}
{'id': 'h56:c07:e16:r2', 'progress': '35/192', 'batch': '35/192', 'mode': 'ANSWER', 's_mode': -8.070902824401855, 'L_content': 2.942761182785034}
{'id': 'h56:c07:e16:r3', 'progress': '36/192', 'batch': '36/192', 'mode': 'ANSWER', 's_mode': -16.057071685791016, 'L_content': 2.7495203018188477}
{'id': 'h56:c07:e16:r4', 'progress': '37/192', 'batch': '37/192', 'mode': 'ANSWER', 's_mode': 6.850475311279297, 'L_content': 3.057748794555664}
{'id': 'h56:c07:e16:r5', 'progress': '38/192', 'batch': '38/192', 'mode': 'ANSWER', 's_mode': 1.9186198711395264, 'L_content': 3.0555925369262695}
{'id': 'h56:c07:e16:r6', 'progress': '39/192', 'batch': '39/192', 'mode': 'ANSWER', 's_mode': 3.583275318145752, 'L_content': 2.7335240840911865}
{'id': 'h56:c07:e16:r7', 'progress': '40/192', 'batch': '40/192', 'mode': 'ANSWER', 's_mode': -10.3811616897583, 'L_content': 2.7381725311279297}
{'id': 'h56:c08:e16:r0', 'progress': '41/192', 'batch': '41/192', 'mode': 'ANSWER', 's_mode': -6.189779281616211, 'L_content': 2.9673070907592773}
{'id': 'h56:c08:e16:r1', 'progress': '42/192', 'batch': '42/192', 'mode': 'ANSWER', 's_mode': 6.647568702697754, 'L_content': 2.8532397747039795}
{'id': 'h56:c08:e16:r2', 'progress': '43/192', 'batch': '43/192', 'mode': 'DENY', 's_mode': -13.50739574432373, 'L_content': None}
{'id': 'h56:c08:e16:r3', 'progress': '44/192', 'batch': '44/192', 'mode': 'ANSWER', 's_mode': 6.35664701461792, 'L_content': 2.9533274173736572}
{'id': 'h56:c08:e16:r4', 'progress': '45/192', 'batch': '45/192', 'mode': 'ANSWER', 's_mode': 19.482616424560547, 'L_content': 2.9650444984436035}
{'id': 'h56:c08:e16:r5', 'progress': '46/192', 'batch': '46/192', 'mode': 'ANSWER', 's_mode': -1.3938777446746826, 'L_content': 2.9085097312927246}
{'id': 'h56:c08:e16:r6', 'progress': '47/192', 'batch': '47/192', 'mode': 'ANSWER', 's_mode': 2.392777681350708, 'L_content': 2.940711259841919}
{'id': 'h56:c08:e16:r7', 'progress': '48/192', 'batch': '48/192', 'mode': 'ANSWER', 's_mode': 5.567933559417725, 'L_content': 2.8405604362487793}
{'id': 'h61:c07:e16:r0', 'progress': '49/192', 'batch': '49/192', 'mode': 'DENY', 's_mode': 17.69117546081543, 'L_content': None}
{'id': 'h61:c07:e16:r1', 'progress': '50/192', 'batch': '50/192', 'mode': 'DENY', 's_mode': 17.96491241455078, 'L_content': None}
{'id': 'h61:c07:e16:r2', 'progress': '51/192', 'batch': '51/192', 'mode': 'DENY', 's_mode': 19.602399826049805, 'L_content': None}
{'id': 'h61:c07:e16:r3', 'progress': '52/192', 'batch': '52/192', 'mode': 'DENY', 's_mode': 16.13654136657715, 'L_content': None}
{'id': 'h61:c07:e16:r4', 'progress': '53/192', 'batch': '53/192', 'mode': 'DENY', 's_mode': 3.674501657485962, 'L_content': None}
{'id': 'h61:c07:e16:r5', 'progress': '54/192', 'batch': '54/192', 'mode': 'REFUSE', 's_mode': -1.9167072772979736, 'L_content': None}
{'id': 'h61:c07:e16:r6', 'progress': '55/192', 'batch': '55/192', 'mode': 'ANSWER', 's_mode': 22.861064910888672, 'L_content': 1.7120640277862549}
{'id': 'h61:c07:e16:r7', 'progress': '56/192', 'batch': '56/192', 'mode': 'DENY', 's_mode': 18.797677993774414, 'L_content': None}
{'id': 'h61:c08:e16:r0', 'progress': '57/192', 'batch': '57/192', 'mode': 'DENY', 's_mode': -23.46398162841797, 'L_content': None}
{'id': 'h61:c08:e16:r1', 'progress': '58/192', 'batch': '58/192', 'mode': 'REFUSE', 's_mode': -18.66225814819336, 'L_content': None}
{'id': 'h61:c08:e16:r2', 'progress': '59/192', 'batch': '59/192', 'mode': 'DENY', 's_mode': -25.502534866333008, 'L_content': None}
{'id': 'h61:c08:e16:r3', 'progress': '60/192', 'batch': '60/192', 'mode': 'REFUSE', 's_mode': -4.267651557922363, 'L_content': None}
{'id': 'h61:c08:e16:r4', 'progress': '61/192', 'batch': '61/192', 'mode': 'REFUSE', 's_mode': -8.958480834960938, 'L_content': None}
{'id': 'h61:c08:e16:r5', 'progress': '62/192', 'batch': '62/192', 'mode': 'REFUSE', 's_mode': -25.870098114013672, 'L_content': None}
{'id': 'h61:c08:e16:r6', 'progress': '63/192', 'batch': '63/192', 'mode': 'REFUSE', 's_mode': -9.67355728149414, 'L_content': None}
{'id': 'h61:c08:e16:r7', 'progress': '64/192', 'batch': '64/192', 'mode': 'DENY', 's_mode': -14.589118003845215, 'L_content': None}
{'id': 'h64:c07:e16:r0', 'progress': '65/192', 'batch': '65/192', 'mode': 'ANSWER', 's_mode': 14.946476936340332, 'L_content': 3.6837100982666016}
{'id': 'h64:c07:e16:r1', 'progress': '66/192', 'batch': '66/192', 'mode': 'ANSWER', 's_mode': 10.66805648803711, 'L_content': 3.6078810691833496}
{'id': 'h64:c07:e16:r2', 'progress': '67/192', 'batch': '67/192', 'mode': 'ANSWER', 's_mode': 18.90216827392578, 'L_content': 3.610476016998291}
{'id': 'h64:c07:e16:r3', 'progress': '68/192', 'batch': '68/192', 'mode': 'ANSWER', 's_mode': 20.774553298950195, 'L_content': 3.7037272453308105}
{'id': 'h64:c07:e16:r4', 'progress': '69/192', 'batch': '69/192', 'mode': 'ANSWER', 's_mode': 12.523066520690918, 'L_content': 3.7514286041259766}
{'id': 'h64:c07:e16:r5', 'progress': '70/192', 'batch': '70/192', 'mode': 'ANSWER', 's_mode': 11.30391788482666, 'L_content': 3.730435848236084}
{'id': 'h64:c07:e16:r6', 'progress': '71/192', 'batch': '71/192', 'mode': 'ANSWER', 's_mode': 12.813225746154785, 'L_content': 3.726684093475342}
{'id': 'h64:c07:e16:r7', 'progress': '72/192', 'batch': '72/192', 'mode': 'ANSWER', 's_mode': 12.525789260864258, 'L_content': 3.7197208404541016}
{'id': 'h64:c08:e16:r0', 'progress': '73/192', 'batch': '73/192', 'mode': 'REFUSE', 's_mode': -12.554344177246094, 'L_content': None}
{'id': 'h64:c08:e16:r1', 'progress': '74/192', 'batch': '74/192', 'mode': 'DENY', 's_mode': 0.28914356231689453, 'L_content': None}
{'id': 'h64:c08:e16:r2', 'progress': '75/192', 'batch': '75/192', 'mode': 'DENY', 's_mode': 16.533105850219727, 'L_content': None}
{'id': 'h64:c08:e16:r3', 'progress': '76/192', 'batch': '76/192', 'mode': 'ANSWER', 's_mode': 20.445470809936523, 'L_content': 3.6710071563720703}
{'id': 'h64:c08:e16:r4', 'progress': '77/192', 'batch': '77/192', 'mode': 'REFUSE', 's_mode': -23.747098922729492, 'L_content': None}
{'id': 'h64:c08:e16:r5', 'progress': '78/192', 'batch': '78/192', 'mode': 'ANSWER', 's_mode': 18.91584014892578, 'L_content': 3.612473964691162}
{'id': 'h64:c08:e16:r6', 'progress': '79/192', 'batch': '79/192', 'mode': 'ANSWER', 's_mode': 16.015378952026367, 'L_content': 3.7793233394622803}
{'id': 'h64:c08:e16:r7', 'progress': '80/192', 'batch': '80/192', 'mode': 'ANSWER', 's_mode': 23.66010284423828, 'L_content': 3.7116270065307617}
{'id': 'h66:c07:e16:r0', 'progress': '81/192', 'batch': '81/192', 'mode': 'ANSWER', 's_mode': -9.21531867980957, 'L_content': 2.4835832118988037}
{'id': 'h66:c07:e16:r1', 'progress': '82/192', 'batch': '82/192', 'mode': 'REFUSE', 's_mode': -34.742000579833984, 'L_content': None}
{'id': 'h66:c07:e16:r2', 'progress': '83/192', 'batch': '83/192', 'mode': 'ANSWER', 's_mode': -17.864166259765625, 'L_content': 2.350973129272461}
{'id': 'h66:c07:e16:r3', 'progress': '84/192', 'batch': '84/192', 'mode': 'ANSWER', 's_mode': -40.39533996582031, 'L_content': 2.339360237121582}
{'id': 'h66:c07:e16:r4', 'progress': '85/192', 'batch': '85/192', 'mode': 'ANSWER', 's_mode': -5.953011989593506, 'L_content': 2.4686312675476074}
{'id': 'h66:c07:e16:r5', 'progress': '86/192', 'batch': '86/192', 'mode': 'ANSWER', 's_mode': -15.506023406982422, 'L_content': 2.4687135219573975}
{'id': 'h66:c07:e16:r6', 'progress': '87/192', 'batch': '87/192', 'mode': 'REFUSE', 's_mode': -18.304292678833008, 'L_content': None}
{'id': 'h66:c07:e16:r7', 'progress': '88/192', 'batch': '88/192', 'mode': 'ANSWER', 's_mode': -19.284034729003906, 'L_content': 2.5361833572387695}
{'id': 'h66:c08:e16:r0', 'progress': '89/192', 'batch': '89/192', 'mode': 'REFUSE', 's_mode': -26.781681060791016, 'L_content': None}
{'id': 'h66:c08:e16:r1', 'progress': '90/192', 'batch': '90/192', 'mode': 'ANSWER', 's_mode': -6.806950092315674, 'L_content': 2.4657142162323}
{'id': 'h66:c08:e16:r2', 'progress': '91/192', 'batch': '91/192', 'mode': 'ANSWER', 's_mode': -12.429414749145508, 'L_content': 2.4484856128692627}
{'id': 'h66:c08:e16:r3', 'progress': '92/192', 'batch': '92/192', 'mode': 'ANSWER', 's_mode': -8.740188598632812, 'L_content': 2.573324680328369}
{'id': 'h66:c08:e16:r4', 'progress': '93/192', 'batch': '93/192', 'mode': 'ANSWER', 's_mode': -12.4171142578125, 'L_content': 2.492703676223755}
{'id': 'h66:c08:e16:r5', 'progress': '94/192', 'batch': '94/192', 'mode': 'ANSWER', 's_mode': -10.348661422729492, 'L_content': 2.52810001373291}
{'id': 'h66:c08:e16:r6', 'progress': '95/192', 'batch': '95/192', 'mode': 'ANSWER', 's_mode': -11.3864107131958, 'L_content': 2.5561819076538086}
{'id': 'h66:c08:e16:r7', 'progress': '96/192', 'batch': '96/192', 'mode': 'ANSWER', 's_mode': -13.880062103271484, 'L_content': 2.4566051959991455}
{'id': 'h68:c07:e16:r0', 'progress': '97/192', 'batch': '97/192', 'mode': 'REFUSE', 's_mode': -81.24273681640625, 'L_content': None}
{'id': 'h68:c07:e16:r1', 'progress': '98/192', 'batch': '98/192', 'mode': 'REFUSE', 's_mode': -104.08678436279297, 'L_content': None}
{'id': 'h68:c07:e16:r2', 'progress': '99/192', 'batch': '99/192', 'mode': 'ANSWER', 's_mode': -2.7114315032958984, 'L_content': 3.0682685375213623}
{'id': 'h68:c07:e16:r3', 'progress': '100/192', 'batch': '100/192', 'mode': 'REFUSE', 's_mode': -53.81025314331055, 'L_content': None}
{'id': 'h68:c07:e16:r4', 'progress': '101/192', 'batch': '101/192', 'mode': 'REFUSE', 's_mode': -26.535476684570312, 'L_content': None}
{'id': 'h68:c07:e16:r5', 'progress': '102/192', 'batch': '102/192', 'mode': 'ANSWER', 's_mode': 10.569005012512207, 'L_content': 3.176603317260742}
{'id': 'h68:c07:e16:r6', 'progress': '103/192', 'batch': '103/192', 'mode': 'REFUSE', 's_mode': -11.695228576660156, 'L_content': None}
{'id': 'h68:c07:e16:r7', 'progress': '104/192', 'batch': '104/192', 'mode': 'REFUSE', 's_mode': -19.029788970947266, 'L_content': None}
{'id': 'h68:c08:e16:r0', 'progress': '105/192', 'batch': '105/192', 'mode': 'ANSWER', 's_mode': 16.08843421936035, 'L_content': 3.1783459186553955}
